LoanOriginationDate,CreditScoreRangeLower,CreditScoreRangeUpper,CreditGrade,ProsperRating (Alpha)
2007-09-12 00:00:00,640,659,C,
2014-03-03 00:00:00,680,699,,A
2007-01-17 00:00:00,480,499,HR,
2012-11-01 00:00:00,800,819,,A
2013-09-20 00:00:00,680,699,,D
2013-12-24 00:00:00,740,759,,B
2013-04-18 00:00:00,680,699,,E
2013-05-13 00:00:00,700,719,,C
2013-12-12 00:00:00,820,839,,AA
2013-12-12 00:00:00,820,839,,AA
2012-05-17 00:00:00,640,659,,C
2007-10-18 00:00:00,640,659,C,
2014-01-07 00:00:00,680,699,,B
2013-07-18 00:00:00,740,759,,A
2013-05-13 00:00:00,740,759,,A
2012-04-19 00:00:00,700,719,,HR
2013-07-18 00:00:00,640,659,,E
2006-08-22 00:00:00,760,779,AA,
2013-03-11 00:00:00,740,759,,A
2013-10-10 00:00:00,680,699,,D
2013-11-29 00:00:00,660,679,,B
2007-12-12 00:00:00,620,639,D,
2013-02-05 00:00:00,700,719,,HR
2013-04-26 00:00:00,680,699,,D
2013-12-18 00:00:00,660,679,,C
2013-10-10 00:00:00,680,699,,E
2013-02-21 00:00:00,660,679,,E
2010-06-24 00:00:00,700,719,,A
2013-11-13 00:00:00,720,739,,C
2014-01-16 00:00:00,740,759,,A
2012-02-07 00:00:00,740,759,,A
2012-09-27 00:00:00,680,699,,HR
2014-01-22 00:00:00,660,679,,B
2010-10-26 00:00:00,760,779,,AA
2014-02-27 00:00:00,640,659,,C
2011-12-21 00:00:00,700,719,,B
2013-12-11 00:00:00,680,699,,E
2013-09-30 00:00:00,640,659,,D
2013-08-22 00:00:00,800,819,,AA
2006-07-17 00:00:00,680,699,B,
2014-01-29 00:00:00,680,699,,C
2012-06-06 00:00:00,700,719,,B
2007-02-09 00:00:00,520,539,HR,
2013-10-10 00:00:00,640,659,,C
2013-06-27 00:00:00,720,739,,C
2013-04-10 00:00:00,740,759,,A
2008-08-15 00:00:00,660,679,C,
2013-05-13 00:00:00,680,699,,A
2013-08-28 00:00:00,720,739,,B
2013-08-21 00:00:00,780,799,,A
2013-12-19 00:00:00,640,659,,D
2011-11-07 00:00:00,640,659,,B
2013-03-27 00:00:00,720,739,,A
2013-02-05 00:00:00,640,659,,E
2012-08-31 00:00:00,720,739,,B
2013-11-01 00:00:00,660,679,,B
2013-09-19 00:00:00,680,699,,C
2012-01-20 00:00:00,720,739,,D
2013-07-24 00:00:00,720,739,,B
2007-09-26 00:00:00,640,659,C,
2013-11-07 00:00:00,700,719,,C
2013-12-09 00:00:00,660,679,,B
2007-04-26 00:00:00,600,619,D,
2006-10-13 00:00:00,620,639,D,
2013-10-09 00:00:00,680,699,,E
2014-03-07 00:00:00,660,679,,C
2007-04-17 00:00:00,620,639,D,
2011-06-27 00:00:00,600,619,,E
2007-03-27 00:00:00,580,599,E,
2014-01-29 00:00:00,700,719,,A
2013-07-03 00:00:00,640,659,,C
2012-11-15 00:00:00,760,779,,HR
2011-05-27 00:00:00,660,679,,D
2013-07-19 00:00:00,700,719,,D
2011-03-16 00:00:00,680,699,,E
2013-07-01 00:00:00,660,679,,E
2006-07-21 00:00:00,540,559,E,
2011-02-24 00:00:00,760,779,,B
2008-07-08 00:00:00,720,739,A,
2013-04-18 00:00:00,740,759,,C
2014-01-22 00:00:00,640,659,,D
2012-12-04 00:00:00,780,799,,AA
2013-07-19 00:00:00,600,619,,E
2012-06-08 00:00:00,660,679,,E
2013-09-04 00:00:00,760,779,,C
2014-01-06 00:00:00,660,679,,C
2014-02-05 00:00:00,640,659,,C
2012-06-01 00:00:00,640,659,,E
2011-11-18 00:00:00,700,719,,HR
2012-06-12 00:00:00,660,679,,B
2006-11-14 00:00:00,600,619,D,
2010-12-20 00:00:00,700,719,,E
2006-07-11 00:00:00,820,839,AA,
2012-06-13 00:00:00,680,699,,C
2012-03-05 00:00:00,700,719,,HR
2014-02-05 00:00:00,680,699,,A
2012-08-15 00:00:00,720,739,,B
2012-11-07 00:00:00,640,659,,C
2014-01-28 00:00:00,640,659,,B
2013-09-19 00:00:00,800,819,,AA
2013-01-30 00:00:00,720,739,,HR
2008-01-08 00:00:00,560,579,E,
2009-09-15 00:00:00,720,739,,A
